accident_index,longitude,latitude,number_of_vehicles,number_of_casualties,date,time,road_type,speed_limit,junction_detail,pedestrian_crossing_physical_facilities,light_conditions,weather_conditions,road_surface_conditions,sex_of_casualty,age_of_casualty,casualty_severity,pedestrian_location,age_group_of_casualty
a2021010351008,0.103238,51.42619,1,1,20/12/2021,12:30,Single carriageway,20,Not at or within 20 metres of junction,Zebra Crossing,Daylight,1,Dry,Female,16,Slight,Unknown,Child
a2021010349037,0.147872,51.484339,1,1,09/12/2021,15:30,Roundabout,20,Roundabout,"Pelican, puffin, toucan",Daylight,4,Dry,Male,10,Slight,Unknown,Child
a2021010348882,0.121651,51.489789,1,1,07/12/2021,16:50,Unknown,20,T or staggered junction,Unknown,Darkness: street lights present and lit,2,Wet,Female,42,Slight,"In carriageway, crossing on pedestrian crossing facility",Adult
a2021010347152,0.127849,51.462338,1,1,30/11/2021,18:03,Single carriageway,30,Not at or within 20 metres of junction,Zebra Crossing,Darkness: street lights present and lit,1,Dry,Female,39,Slight,"In carriageway, crossing on pedestrian crossing facility",Adult
a2021010346843,0.125504,51.489935,1,1,29/11/2021,07:40,Single carriageway,30,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1,Dry,Male,29,Slight,"In carriageway, crossing elsewhere",Adult
a2021010345723,0.119331,51.460595,1,1,24/11/2021,06:30,Unknown,30,Unknown,Unknown,Darkness: street lights present and lit,1,Unknown,Male,29,Slight,On footway or verge,Adult
a2021010345190,0.117032,51.447624,1,1,18/11/2021,16:00,Single carriageway,30,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,9,Dry,Female,11,Slight,Unknown,Child
a2021010345174,0.182494,51.467098,1,1,21/11/2021,09:00,Single carriageway,20,Unknown,Pedestrian phase,Daylight,1,Dry,Female,18,Slight,"In carriageway, crossing on pedestrian crossing facility",Adult
a2021010344389,0.124154,51.439536,1,1,16/11/2021,18:51,Single carriageway,30,T or staggered junction,No physical crossing facility within 50m,Darkness: street lights present and lit,2,Wet,Male,50,Slight,"In carriageway, crossing elsewhere",Adult
a2021010343061,0.109942,51.468957,2,2,10/11/2021,16:07,Single carriageway,30,T or staggered junction,No physical crossing facility within 50m,Daylight,1,Dry,Male,32,Slight,On footway or verge,Adult
a2021010343061,0.109942,51.468957,2,2,10/11/2021,16:07,Single carriageway,30,T or staggered junction,No physical crossing facility within 50m,Daylight,1,Dry,Female,68,Serious,On footway or verge,Adult
a2021010342965,0.119415,51.43258,1,1,10/11/2021,08:30,Single carriageway,30,Other,No physical crossing facility within 50m,Daylight,1,Dry,Male,11,Slight,"In carriageway, crossing elsewhere",Child
a2021010342828,0.152307,51.484329,1,1,09/11/2021,16:30,Dual carriageway,30,T or staggered junction,Central refuge,Daylight,1,Dry,Male,8,Slight,"In carriageway, crossing on pedestrian crossing facility",Child
a2021010342126,0.107341,51.450011,1,1,06/11/2021,12:14,Single carriageway,30,Not at or within 20 metres of junction,Central refuge,Daylight,1,Dry,Female,52,Fatal,"In carriageway, crossing elsewhere",Adult
a2021010341342,0.142312,51.472974,1,1,02/11/2021,15:25,Single carriageway,30,Not at or within 20 metres of junction,Central refuge,Daylight,1,Dry,Male,10,Serious,"In carriageway, crossing elsewhere",Child
a2021010339901,0.149623,51.43677,1,1,26/10/2021,18:15,Single carriageway,30,Unknown,Unknown,Daylight,1,Dry,Male,34,Slight,On footway or verge,Adult
a2021010338842,0.133708,51.466962,1,1,21/10/2021,11:36,Single carriageway,30,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1,Dry,Male,21,Slight,"In carirageway, not crossing",Adult
a2021010338748,0.143052,51.410423,1,1,20/10/2021,20:10,Single carriageway,50,Not at or within 20 metres of junction,No physical crossing facility within 50m,Darkness: street lighting unknown,2,Wet,Male,44,Fatal,Unknown,Adult
a2021010338474,0.152163,51.454988,1,1,19/10/2021,15:23,Roundabout,30,Roundabout,Central refuge,Daylight,1,Dry,Female,12,Slight,"In carriageway, crossing elsewhere",Child
a2021010338428,0.110755,51.47128,1,1,19/10/2021,13:15,Single carriageway,30,T or staggered junction,Central refuge,Daylight,1,Dry,Female,41,Slight,"In carriageway, crossing elsewhere",Adult
a2021010337744,0.171177,51.471634,1,1,15/10/2021,16:06,Single carriageway,30,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1,Dry,Male,11,Serious,"In carriageway, crossing elsewhere",Child
a2021010337384,0.115873,51.461143,1,2,14/10/2021,08:20,Single carriageway,30,T or staggered junction,Central refuge,Daylight,1,Dry,Male,45,Slight,On refuge or central island,Adult
a2021010337384,0.115873,51.461143,1,2,14/10/2021,08:20,Single carriageway,30,T or staggered junction,Central refuge,Daylight,1,Dry,Female,8,Slight,On refuge or central island,Child
a2021010337056,0.114102,51.467983,1,1,12/10/2021,15:34,Single carriageway,30,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1,Dry,Male,13,Serious,"In carriageway, crossing elsewhere",Child
a2021010333066,0.155035,51.474989,1,1,23/09/2021,17:03,Single carriageway,30,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1,Dry,Female,29,Slight,"In carirageway, not crossing",Adult
a2021010332848,0.136918,51.457722,1,1,22/09/2021,15:40,Single carriageway,20,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1,Dry,Male,23,Slight,"In carirageway, not crossing",Adult
a2021010331013,0.102067,51.43015,1,1,13/09/2021,18:52,Single carriageway,30,Not at or within 20 metres of junction,Zebra Crossing,Daylight,1,Dry,Female,12,Serious,"In carriageway, crossing elsewhere within 50m of pedestrian crossing",Child
a2021010331001,0.117848,51.439147,1,1,13/09/2021,15:05,Single carriageway,30,Roundabout,No physical crossing facility within 50m,Daylight,1,Dry,Male,11,Slight,"In carriageway, crossing elsewhere",Child
a2021010330365,0.168024,51.452528,1,1,05/09/2021,00:30,Single carriageway,30,Unknown,No physical crossing facility within 50m,Darkness: street lighting unknown,1,Dry,Male,38,Slight,Unknown,Adult
a2021010329609,0.191929,51.459971,1,1,07/09/2021,06:07,Roundabout,40,Roundabout,Central refuge,Daylight,1,Dry,Female,67,Slight,"In carriageway, crossing on pedestrian crossing facility",Adult
a2021010327865,0.091447,51.462184,1,1,27/08/2021,21:00,Unknown,30,Unknown,No physical crossing facility within 50m,Darkness: street lights present and lit,1,Dry,Male,58,Slight,On footway or verge,Adult
a2021010326062,0.145521,51.457304,1,1,23/08/2021,18:45,Single carriageway,30,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1,Dry,Male,38,Slight,On footway or verge,Adult
a2021010324964,0.190731,51.473123,1,1,04/08/2021,11:22,Unknown,20,Unknown,Unknown,Daylight,9,Unknown,Male,-1,Slight,"In carirageway, not crossing",Child
a2021010324748,0.126912,51.473776,1,1,16/08/2021,10:25,Unknown,30,Slip road,Zebra Crossing,Daylight,1,Dry,Female,84,Slight,"In carriageway, crossing on pedestrian crossing facility",Adult
a2021010324527,0.088381,51.450836,1,1,14/08/2021,15:21,Single carriageway,30,Other,No physical crossing facility within 50m,Daylight,1,Dry,Male,62,Serious,"In carriageway, crossing elsewhere",Adult
a2021010323892,0.15348,51.451159,1,1,11/08/2021,13:45,Single carriageway,30,T or staggered junction,Central refuge,Daylight,1,Dry,Female,87,Slight,"In carriageway, crossing elsewhere",Adult
a2021010323064,0.191193,51.456315,1,1,05/08/2021,17:40,Single carriageway,30,Crossroads,No physical crossing facility within 50m,Daylight,1,Dry,Male,51,Slight,"In centre of carriageway, not on refuge",Adult
a2021010320928,0.152954,51.438759,1,1,23/07/2021,11:15,Unknown,20,Mini roundabout,Unknown,Daylight,9,Unknown,Female,30,Slight,"In carriageway, crossing on pedestrian crossing facility",Adult
a2021010320181,0.1413,51.491024,1,1,21/07/2021,09:10,Single carriageway,30,T or staggered junction,No physical crossing facility within 50m,Daylight,1,Dry,Female,9,Slight,"In carriageway, crossing elsewhere",Child
a2021010319789,0.176362,51.471969,1,1,15/07/2021,09:30,Single carriageway,30,Not at or within 20 metres of junction,Unknown,Daylight,1,Dry,Male,59,Slight,"In carriageway, crossing on pedestrian crossing facility",Adult
a2021010319475,0.134099,51.46887,1,1,17/07/2021,01:15,Single carriageway,30,T or staggered junction,No physical crossing facility within 50m,Darkness: street lights present and lit,1,Dry,Female,17,Slight,Unknown,Child
a2021010318947,0.186214,51.478333,1,1,13/07/2021,15:00,Single carriageway,30,Other,"Pelican, puffin, toucan",Daylight,1,Dry,Male,17,Slight,"In carriageway, crossing on pedestrian crossing facility",Child
