accident_index,longitude,latitude,number_of_vehicles,number_of_casualties,date,time,road_type,speed_limit,junction_detail,pedestrian_crossing_physical_facilities,light_conditions,weather_conditions,road_surface_conditions,sex_of_casualty,age_of_casualty,casualty_severity,pedestrian_location,age_group_of_casualty,type,year,label,name,is_surveyed,num_collisions_dimitri,distance_to_collision,project,num_collisions_bexley,avg_four_peak_adpv2,max_one_hour_adpv2
a2022010378216,0.091591,51.462452,1.0,1.0,2022-05-24,08:00,Single carriageway,30.0,T or staggered junction,No physical crossing facility within 50m,Daylight,8.0,Wet,Female,12.0,Slight,"In carriageway, crossing elsewhere",Child,Collision involving a child,2022.0,C2022,,,,,,,,
a2022010377794,0.181112,51.475209,1.0,1.0,2022-05-21,18:58,Dual carriageway,40.0,T or staggered junction,No physical crossing facility within 50m,Daylight,1.0,Dry,Male,33.0,Slight,"In carriageway, crossing elsewhere",Adult,Collision not involving a child,2022.0,2022,,,,,,,,
a2022010373468,0.139047,51.493646,2.0,1.0,2022-04-29,12:39,Single carriageway,30.0,Using private drive or entrance,No physical crossing facility within 50m,Daylight,1.0,Dry,Female,30.0,Slight,"In carirageway, not crossing",Adult,Collision not involving a child,2022.0,2022,,,,,,,,
a2022010373084,0.123278,51.477359,1.0,1.0,2022-04-23,14:57,Unknown,20.0,Not at or within 20 metres of junction,Unknown,Daylight,9.0,Unknown,Female,48.0,Slight,On footway or verge,Adult,Collision not involving a child,2022.0,2022,,,,,,,,
a2022010372245,0.094104,51.464206,1.0,1.0,2022-04-22,09:00,Single carriageway,20.0,Not at or within 20 metres of junction,Pedestrian phase,Daylight,1.0,Dry,Female,82.0,Slight,On footway or verge,Adult,Collision not involving a child,2022.0,2022,,,,,,,,
a2022010371159,0.10164,51.423603,1.0,1.0,2022-04-16,16:30,Single carriageway,30.0,Other,No physical crossing facility within 50m,Daylight,1.0,Dry,Female,74.0,Serious,"In carriageway, crossing elsewhere",Adult,Collision not involving a child,2022.0,2022,,,,,,,,
a2022010366475,0.127699,51.49004,1.0,1.0,2022-03-20,14:15,Single carriageway,30.0,Not at or within 20 metres of junction,Footbridge or subway,Daylight,1.0,Dry,Female,13.0,Slight,"In carriageway, crossing elsewhere",Child,Collision involving a child,2022.0,C2022,,,,,,,,
a2022010365789,0.079835,51.458794,1.0,1.0,2022-03-17,07:24,Roundabout,30.0,Roundabout,No physical crossing facility within 50m,Daylight,1.0,Dry,Female,48.0,Serious,"In carriageway, crossing elsewhere",Adult,Collision not involving a child,2022.0,2022,,,,,,,,
a2022010365443,0.132984,51.464998,1.0,1.0,2022-03-15,10:43,Single carriageway,30.0,T or staggered junction,No physical crossing facility within 50m,Daylight,1.0,Dry,Female,73.0,Serious,"In carriageway, crossing elsewhere",Adult,Collision not involving a child,2022.0,2022,,,,,,,,
a2022010365183,0.111715,51.459915,1.0,1.0,2022-03-13,15:17,Single carriageway,30.0,Other,No physical crossing facility within 50m,Daylight,1.0,Wet,Female,22.0,Slight,On footway or verge,Adult,Collision not involving a child,2022.0,2022,,,,,,,,
a2022010361529,0.105874,51.462808,1.0,1.0,2022-02-21,16:50,Single carriageway,30.0,T or staggered junction,Central refuge,Daylight,1.0,Dry,Female,72.0,Slight,"In carriageway, crossing elsewhere within 50m of pedestrian crossing",Adult,Collision not involving a child,2022.0,2022,,,,,,,,
a2022010360799,0.11027,51.469788,1.0,1.0,2022-02-17,06:30,Single carriageway,30.0,Unknown,Zebra Crossing,Darkness: street lights present and lit,1.0,Dry,Male,20.0,Slight,"In carriageway, crossing on pedestrian crossing facility",Adult,Collision not involving a child,2022.0,2022,,,,,,,,
a2022010360035,0.121239,51.510688,1.0,1.0,2022-10-02,15:38,Single carriageway,20.0,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,2.0,Dry,Male,10.0,Serious,Unknown,Child,Collision involving a child,2022.0,C2022,,,,,,,,
a2022010359917,0.124865,51.494453,1.0,1.0,2022-11-02,22:30,Single carriageway,30.0,Not at or within 20 metres of junction,No physical crossing facility within 50m,Darkness: street lights present and lit,1.0,Dry,Male,36.0,Serious,"In carriageway, crossing elsewhere",Adult,Collision not involving a child,2022.0,2022,,,,,,,,
a2022010359636,0.18099,51.464798,1.0,1.0,2022-10-02,16:20,Single carriageway,20.0,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1.0,Dry,Male,12.0,Serious,"In carriageway, crossing elsewhere",Child,Collision involving a child,2022.0,C2022,,,,,,,,
a2022010357863,0.175235,51.463358,1.0,1.0,2022-01-31,18:15,Single carriageway,30.0,Not at or within 20 metres of junction,No physical crossing facility within 50m,Darkness: street lights present and lit,1.0,Dry,Male,55.0,Slight,On footway or verge,Adult,Collision not involving a child,2022.0,2022,,,,,,,,
a2022010357778,0.100655,51.420005,1.0,1.0,2022-01-31,10:49,Single carriageway,20.0,Not at or within 20 metres of junction,Zebra Crossing,Daylight,1.0,Dry,Male,80.0,Serious,On footway or verge,Adult,Collision not involving a child,2022.0,2022,,,,,,,,
a2022010356990,0.14613,51.465945,1.0,1.0,2022-01-27,09:40,Single carriageway,30.0,T or staggered junction,Central refuge,Daylight,1.0,Dry,Male,60.0,Slight,"In carriageway, crossing on pedestrian crossing facility",Adult,Collision not involving a child,2022.0,2022,,,,,,,,
a2022010356583,0.123164,51.457208,1.0,1.0,2022-01-25,07:13,Dual carriageway,30.0,Other,Pedestrian phase,Daylight,1.0,Dry,Male,14.0,Serious,"In carriageway, crossing elsewhere",Child,Collision involving a child,2022.0,C2022,,,,,,,,
a2022010355936,0.152139,51.45534,2.0,2.0,2022-01-21,10:40,Roundabout,30.0,Roundabout,"Pelican, puffin, toucan",Daylight,1.0,Dry,Female,63.0,Slight,On footway or verge,Adult,Collision not involving a child,2022.0,2022,,,,,,,,
a2022010355635,0.100939,51.425882,1.0,1.0,2022-01-19,17:41,Single carriageway,30.0,Crossroads,Pedestrian phase,Darkness: street lights present and lit,1.0,Dry,Female,25.0,Serious,"In carriageway, crossing elsewhere",Adult,Collision not involving a child,2022.0,2022,,,,,,,,
a2022010355363,0.122122,51.506427,1.0,1.0,2022-01-18,07:50,Single carriageway,30.0,Other,No physical crossing facility within 50m,Darkness: street lights present but unlit,9.0,Frost/Ice,Female,10.0,Slight,"In carriageway, crossing elsewhere",Child,Collision involving a child,2022.0,C2022,,,,,,,,
a2022010354944,0.170564,51.475675,2.0,1.0,2022-01-14,07:10,Roundabout,20.0,Mini roundabout,No physical crossing facility within 50m,Darkness: street lights present and lit,8.0,Frost/Ice,Female,-1.0,Slight,Unknown,Child,Collision involving a child,2022.0,C2022,,,,,,,,
a2022010354485,0.157998,51.465736,1.0,1.0,2022-01-13,15:39,Unknown,30.0,Not at or within 20 metres of junction,Zebra Crossing,Daylight,1.0,Dry,Female,50.0,Slight,On footway or verge,Adult,Collision not involving a child,2022.0,2022,,,,,,,,
a2022010354427,0.176004,51.480439,1.0,1.0,2022-01-13,06:45,Roundabout,30.0,Roundabout,Central refuge,Darkness: street lights present and lit,1.0,Wet,Male,35.0,Serious,"In carriageway, crossing on pedestrian crossing facility",Adult,Collision not involving a child,2022.0,2022,,,,,,,,
a2022010354167,0.151501,51.491044,1.0,1.0,2022-11-01,19:05,Single carriageway,30.0,T or staggered junction,Zebra Crossing,Darkness: street lights present and lit,2.0,Wet,Male,16.0,Slight,"In carriageway, crossing on pedestrian crossing facility",Child,Collision involving a child,2022.0,C2022,,,,,,,,
a2022010353945,0.091959,51.456978,1.0,1.0,2022-10-01,16:22,Single carriageway,30.0,Other,Zebra Crossing,Daylight,1.0,Wet,Male,11.0,Slight,"In carriageway, crossing elsewhere within 50m of pedestrian crossing",Child,Collision involving a child,2022.0,C2022,,,,,,,,
a2022010353857,0.109749,51.465364,1.0,1.0,2022-10-01,07:40,Single carriageway,30.0,Not at or within 20 metres of junction,Zebra Crossing,Darkness: street lights present and lit,1.0,Wet,Male,17.0,Slight,"In carriageway, crossing on pedestrian crossing facility",Child,Collision involving a child,2022.0,C2022,,,,,,,,
a2021010352320,0.181269,51.472804,1.0,1.0,2021-12-29,17:30,Dual carriageway,40.0,Not at or within 20 metres of junction,Pedestrian phase,Darkness: street lights present and lit,1.0,Wet,Male,31.0,Serious,"In carriageway, crossing on pedestrian crossing facility",Adult,Collision not involving a child,2021.0,2021,,,,,,,,
a2021010351008,0.103238,51.42619,1.0,1.0,2021-12-20,12:30,Single carriageway,20.0,Not at or within 20 metres of junction,Zebra Crossing,Daylight,1.0,Dry,Female,16.0,Slight,Unknown,Child,Collision involving a child,2021.0,C2021,,,,,,,,
a2021010349037,0.147872,51.484339,1.0,1.0,2021-09-12,15:30,Roundabout,20.0,Roundabout,"Pelican, puffin, toucan",Daylight,4.0,Dry,Male,10.0,Slight,Unknown,Child,Collision involving a child,2021.0,C2021,,,,,,,,
a2021010348882,0.121651,51.489789,1.0,1.0,2021-07-12,16:50,Unknown,20.0,T or staggered junction,Unknown,Darkness: street lights present and lit,2.0,Wet,Female,42.0,Slight,"In carriageway, crossing on pedestrian crossing facility",Adult,Collision not involving a child,2021.0,2021,,,,,,,,
a2021010347152,0.127849,51.462338,1.0,1.0,2021-11-30,18:03,Single carriageway,30.0,Not at or within 20 metres of junction,Zebra Crossing,Darkness: street lights present and lit,1.0,Dry,Female,39.0,Slight,"In carriageway, crossing on pedestrian crossing facility",Adult,Collision not involving a child,2021.0,2021,,,,,,,,
a2021010346843,0.125504,51.489935,1.0,1.0,2021-11-29,07:40,Single carriageway,30.0,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1.0,Dry,Male,29.0,Slight,"In carriageway, crossing elsewhere",Adult,Collision not involving a child,2021.0,2021,,,,,,,,
